keyword;volume;cpc;comp;results;intent;kd
lead ops;20;0;0.04;0;;0
lead operations;20;0;0.33;0;;0
inbound lead management;170;0;0.21;126;1;23
lead management process;390;7.78;0.12;128;1;39
lead routing;590;21.71;0.33;135;1;22
lead routing software;880;49.99;0.16;32;1;15
lead assignment;40;21.44;0.11;126;1;23
lead distribution software;480;26.77;0.25;129;0;19
round robin lead assignment;70;20.32;0.25;130;1;19
speed to lead;1600;14;0.44;134;1;21
lead response time;210;0;0.01;131;1;42
lead qualification;1600;11.9;0.12;135;1;39
ai lead qualification;260;14.29;0.19;122;0;31
lead scoring;3600;9.89;0.17;134;1;47
lead scoring model;390;10.11;0.23;20;1;50
lead qualification framework;70;7.42;0.14;157;1;26
crm automation;2400;16.93;0.3;128;1;41
inbound crm;110;9.59;0.06;127;1;14
lead management software;2400;23.05;0.15;129;0;45
lead management system;1900;21.81;0.26;129;1;42
lead tracking software;1300;22.92;0.25;60;0;44
lead capture;1300;13.23;0.34;184;1;37
website lead capture;30;17.11;0.3;131;1;25
lead capture form;480;14.6;0.18;130;1;34
lead attribution;320;15.94;0.31;129;1;14
marketing attribution;2400;27.24;0.36;136;1;47
closed loop reporting;140;0;0.06;123;1;17
mql vs sql;1300;0.59;0.2;130;1;26
lead handoff;20;0;0.1;0;;0
sales handoff process;20;0;0.33;0;;0
lead acceptance;0;0;0;0;;0
lead follow up;320;16;0.13;139;1;28
sales follow up system;50;23.61;0.15;130;0;19
sales cadence;590;6.37;0.66;184;1;32
sales sequence;480;19.92;0.27;132;3;23
revops;3600;8.77;0.24;126;1;50
revenue operations;2400;7.95;0.17;133;1;40
lead nurturing;3600;14.01;0.11;135;1;57
lead leakage;20;0;0.33;0;;0
inbound sales process;90;14.19;0.07;132;1;26
